Question,True Answer,answers,MCQs,3_MC,2_MC
以$y=x^2-e^x$和$y=x^2$为特解的一阶非齐次线性微分方程为？,$y^{\\prime}-y=2x-x^2$,"['$y^{\\\\prime}-2y=2x-x^2$', '$y^{\\\\prime}-y=x-x^2$', '$y^{\\\\prime}-2y=x-x^2$']",请选择一个正确选项。以$y=x^2-e^x$和$y=x^2$为特解的一阶非齐次线性微分方程为？：A $y^{\\prime}-2y=2x-x^2$ ，B $y^{\\prime}-y=x-x^2$ ，C $y^{\\prime}-2y=x-x^2$，D $y^{\\prime}-y=2x-x^2$。只能选择一个选项，禁止解释。,请选择一个正确选项。以$y=x^2-e^x$和$y=x^2$为特解的一阶非齐次线性微分方程为？：A $y^{\\\\prime}-2y=2x-x^2$ ，B  $y^{\\\\prime}-y=x-x^2$ ，C $y^{\\prime}-y=2x-x^2$。只能选择一个选项，禁止解释。,请选择一个正确选项。以$y=x^2-e^x$和$y=x^2$为特解的一阶非齐次线性微分方程为？：A $y^{\\\\prime}-2y=2x-x^2$ ，B $y^{\\prime}-y=2x-x^2$。只能选择一个选项，禁止解释。
极限$\\lim _{n \\rightarrow \\infty} \\frac{1}{n^2}\\left(\\sin \\frac{1}{n}+2 \\sin \\frac{2}{n}+...+n \\sin \\frac{n}{n}\\right)=$?,$\\sin (1) - \\cos (1)$,"['$\\\\sin (1) + \\\\cos (1)$', '$\\\\sin (1)$', '$\\\\cos (1)$']",请选择一个正确选项。极限$\\lim _{n \\rightarrow \\infty} \\frac{1}{n^2}\\left(\\sin \\frac{1}{n}+2 \\sin \\frac{2}{n}+...+n \\sin \\frac{n}{n}\\right)=$?：A $\\sin (1) - \\cos (1)$ ，B $\\sin (1) + \\cos (1)$ ，C $\\sin (1)$，D $\\cos (1)$。只能选择一个选项，禁止解释。,请选择一个正确选项。极限$\\lim _{n \\rightarrow \\infty} \\frac{1}{n^2}\\left(\\sin \\frac{1}{n}+2 \\sin \\frac{2}{n}+...+n \\sin \\frac{n}{n}\\right)=$?：A $\\\\sin (1) + \\\\cos (1)$ ，B  $\\\\sin (1)$ ，C $\\sin (1) - \\cos (1)$。只能选择一个选项，禁止解释。,请选择一个正确选项。极限$\\lim _{n \\rightarrow \\infty} \\frac{1}{n^2}\\left(\\sin \\frac{1}{n}+2 \\sin \\frac{2}{n}+...+n \\sin \\frac{n}{n}\\right)=$?：A $\\\\sin (1) + \\\\cos (1)$ ，B $\\sin (1) - \\cos (1)$。只能选择一个选项，禁止解释。
函数 $f(x)=x^2 \\cdot 2^x$ 在 $x=0$ 处的 $n$ 阶导数 $f^n(0)=$?,$n(n-1)(\\ln2)^{n-2}$,"['$n(n-1)(\\\\ln2)^{n}$', '$n(n-1)(\\\\ln2)^{n-1}$', '$n(n+1)(\\\\ln2)^{n-2}$']",请选择一个正确选项。函数 $f(x)=x^2 \\cdot 2^x$ 在 $x=0$ 处的 $n$ 阶导数 $f^n(0)=$?：A $n(n-1)(\\ln2)^{n}$ ，B $n(n-1)(\\ln2)^{n-1}$ ，C $n(n-1)(\\ln2)^{n-2}$，D $n(n+1)(\\ln2)^{n-2}$。只能选择一个选项，禁止解释。,请选择一个正确选项。函数 $f(x)=x^2 \\cdot 2^x$ 在 $x=0$ 处的 $n$ 阶导数 $f^n(0)=$?：A $n(n-1)(\\\\ln2)^{n}$ ，B  $n(n-1)(\\\\ln2)^{n-1}$ ，C $n(n-1)(\\ln2)^{n-2}$。只能选择一个选项，禁止解释。,请选择一个正确选项。函数 $f(x)=x^2 \\cdot 2^x$ 在 $x=0$ 处的 $n$ 阶导数 $f^n(0)=$?：A $n(n-1)(\\\\ln2)^{n}$ ，B $n(n-1)(\\ln2)^{n-2}$。只能选择一个选项，禁止解释。
"设 $f(x)$ 连续, $\\varphi(x)=\\int_0^{x^2} x f(t) d t$, 若 $\\varphi(1)=1, \\varphi^{\\prime}(1)=5$, 则 $f(1)=$?",2,"['1', '-1', '0']","请选择一个正确选项。设 $f(x)$ 连续, $\\varphi(x)=\\int_0^{x^2} x f(t) d t$, 若 $\\varphi(1)=1, \\varphi^{\\prime}(1)=5$, 则 $f(1)=$?：A 1 ，B 2 ，C -1，D 0。只能选择一个选项，禁止解释。","请选择一个正确选项。设 $f(x)$ 连续, $\\varphi(x)=\\int_0^{x^2} x f(t) d t$, 若 $\\varphi(1)=1, \\varphi^{\\prime}(1)=5$, 则 $f(1)=$?：A 1 ，B  -1 ，C 2。只能选择一个选项，禁止解释。","请选择一个正确选项。设 $f(x)$ 连续, $\\varphi(x)=\\int_0^{x^2} x f(t) d t$, 若 $\\varphi(1)=1, \\varphi^{\\prime}(1)=5$, 则 $f(1)=$?：A 1 ，B 2。只能选择一个选项，禁止解释。"
"设函数 $y=y(x)$ 是微分方程 $y^*+y^{\\prime}-2 y=0$ 的解, 且在 $x=0$ 处 $y(x)$ 取得极值 3 , 则?",$\\mathrm{e}^{-2x}+2\\mathrm{e}^x$,"['$\\\\mathrm{e}^{2x}+2\\\\mathrm{e}^x$', '$\\\\mathrm{e}^{-2x}+\\\\mathrm{e}^x$', '$\\\\mathrm{e}^{2x}+\\\\mathrm{e}^x$']","请选择一个正确选项。设函数 $y=y(x)$ 是微分方程 $y^*+y^{\\prime}-2 y=0$ 的解, 且在 $x=0$ 处 $y(x)$ 取得极值 3 , 则?：A $\\mathrm{e}^{-2x}+2\\mathrm{e}^x$ ，B $\\mathrm{e}^{2x}+2\\mathrm{e}^x$ ，C $\\mathrm{e}^{-2x}+\\mathrm{e}^x$，D $\\mathrm{e}^{2x}+\\mathrm{e}^x$。只能选择一个选项，禁止解释。","请选择一个正确选项。设函数 $y=y(x)$ 是微分方程 $y^*+y^{\\prime}-2 y=0$ 的解, 且在 $x=0$ 处 $y(x)$ 取得极值 3 , 则?：A $\\\\mathrm{e}^{2x}+2\\\\mathrm{e}^x$ ，B  $\\\\mathrm{e}^{-2x}+\\\\mathrm{e}^x$ ，C $\\mathrm{e}^{-2x}+2\\mathrm{e}^x$。只能选择一个选项，禁止解释。","请选择一个正确选项。设函数 $y=y(x)$ 是微分方程 $y^*+y^{\\prime}-2 y=0$ 的解, 且在 $x=0$ 处 $y(x)$ 取得极值 3 , 则?：A $\\\\mathrm{e}^{2x}+2\\\\mathrm{e}^x$ ，B $\\mathrm{e}^{-2x}+2\\mathrm{e}^x$。只能选择一个选项，禁止解释。"
下列对文中画被浪线部分的断句，正确的一项是?,贾生名谊/洛阳人也/年十八/以能诵诗属书闻于郡中/吴廷尉为河南守/闻其秀才/召置门下/甚幸爱/,"['贾生名谊/洛阳人也/年十八/以能诵诗属书闻于郡中吴廷尉/为河南守/闻其秀才/召置门下/甚幸爱/', '贾生名谊/洛阳人也/年十八/以能诵诗属书闻于郡中/吴廷尉为河南守/闻其秀才/召置/门下甚幸爱/', '贾生名谊/洛阳人也/年十八/以能诵诗属书闻/于郡中吴廷尉为河南守/闻其秀才/召置门下/甚幸爱/']",请选择一个正确选项。下列对文中画被浪线部分的断句，正确的一项是?：A 贾生名谊/洛阳人也/年十八/以能诵诗属书闻于郡中吴廷尉/为河南守/闻其秀才/召置门下/甚幸爱/ ，B 贾生名谊/洛阳人也/年十八/以能诵诗属书闻于郡中/吴廷尉为河南守/闻其秀才/召置/门下甚幸爱/ ，C 贾生名谊/洛阳人也/年十八/以能诵诗属书闻于郡中/吴廷尉为河南守/闻其秀才/召置门下/甚幸爱/，D 贾生名谊/洛阳人也/年十八/以能诵诗属书闻/于郡中吴廷尉为河南守/闻其秀才/召置门下/甚幸爱/。只能选择一个选项，禁止解释。,请选择一个正确选项。下列对文中画被浪线部分的断句，正确的一项是?：A 贾生名谊/洛阳人也/年十八/以能诵诗属书闻于郡中吴廷尉/为河南守/闻其秀才/召置门下/甚幸爱/ ，B  贾生名谊/洛阳人也/年十八/以能诵诗属书闻于郡中/吴廷尉为河南守/闻其秀才/召置/门下甚幸爱/ ，C 贾生名谊/洛阳人也/年十八/以能诵诗属书闻于郡中/吴廷尉为河南守/闻其秀才/召置门下/甚幸爱/。只能选择一个选项，禁止解释。,请选择一个正确选项。下列对文中画被浪线部分的断句，正确的一项是?：A 贾生名谊/洛阳人也/年十八/以能诵诗属书闻于郡中吴廷尉/为河南守/闻其秀才/召置门下/甚幸爱/ ，B 贾生名谊/洛阳人也/年十八/以能诵诗属书闻于郡中/吴廷尉为河南守/闻其秀才/召置门下/甚幸爱/。只能选择一个选项，禁止解释。
下列对文中加点的词语相关内容的解说，不正确的一项是?,诸子百家是先秦至汉初学术派别的总称，其中又以道、法、农三家影响最深远。,"['诏令作为古代的文体名称，是以皇帝的名义所发布的各种命令、文告的总称。', '礼乐指礼制和音乐，古代帝王常常用兴礼乐作为手段，以维护社会秩序的稳定。', '就国，是指受到君主分封并获得领地后，受封者前非领地居住并进行统治管理。']",请选择一个正确选项。下列对文中加点的词语相关内容的解说，不正确的一项是?：A 诸子百家是先秦至汉初学术派别的总称，其中又以道、法、农三家影响最深远。 ，B 诏令作为古代的文体名称，是以皇帝的名义所发布的各种命令、文告的总称。 ，C 礼乐指礼制和音乐，古代帝王常常用兴礼乐作为手段，以维护社会秩序的稳定。，D 就国，是指受到君主分封并获得领地后，受封者前非领地居住并进行统治管理。。只能选择一个选项，禁止解释。,请选择一个正确选项。下列对文中加点的词语相关内容的解说，不正确的一项是?：A 诏令作为古代的文体名称，是以皇帝的名义所发布的各种命令、文告的总称。 ，B  礼乐指礼制和音乐，古代帝王常常用兴礼乐作为手段，以维护社会秩序的稳定。 ，C 诸子百家是先秦至汉初学术派别的总称，其中又以道、法、农三家影响最深远。。只能选择一个选项，禁止解释。,请选择一个正确选项。下列对文中加点的词语相关内容的解说，不正确的一项是?：A 诏令作为古代的文体名称，是以皇帝的名义所发布的各种命令、文告的总称。 ，B 诸子百家是先秦至汉初学术派别的总称，其中又以道、法、农三家影响最深远。。只能选择一个选项，禁止解释。
下列对原文有关内容的概括和分析，不正确的一项是?,贾谊答复询问，重新得到重用。文帝询问鬼神之事，对贾谊的回答很满意，于是任命他为自己钟爱的小儿子梁怀王的太傅，又表示自己也比不上贾谊。,"['贾谊初入仕途，展现非凡才能。他受到廷尉推荐而入仕，当时年仅二十余岁，却让诸生自觉不如，不久得到文帝越级提拔，一年之间就当上太中大夫。', '贾谊热心政事，遭到权要忌恨。他认为汉朝建立二十余年，政通人和，应当全盘改变秦朝法令，因此触及权贵利益，受到诋毁，文帝后来也疏远了他。', '贾谊劝止封候，文帝未予采纳。文帝封淮南厉王四个儿子为候，贾谊认为祸患将自此兴起；数年之后，梁怀王堕马死，贾谊觉得未能尽责，悲泣而死。']",请选择一个正确选项。下列对原文有关内容的概括和分析，不正确的一项是?：A 贾谊初入仕途，展现非凡才能。他受到廷尉推荐而入仕，当时年仅二十余岁，却让诸生自觉不如，不久得到文帝越级提拔，一年之间就当上太中大夫。 ，B 贾谊热心政事，遭到权要忌恨。他认为汉朝建立二十余年，政通人和，应当全盘改变秦朝法令，因此触及权贵利益，受到诋毁，文帝后来也疏远了他。 ，C 贾谊答复询问，重新得到重用。文帝询问鬼神之事，对贾谊的回答很满意，于是任命他为自己钟爱的小儿子梁怀王的太傅，又表示自己也比不上贾谊。，D 贾谊劝止封候，文帝未予采纳。文帝封淮南厉王四个儿子为候，贾谊认为祸患将自此兴起；数年之后，梁怀王堕马死，贾谊觉得未能尽责，悲泣而死。。只能选择一个选项，禁止解释。,请选择一个正确选项。下列对原文有关内容的概括和分析，不正确的一项是?：A 贾谊初入仕途，展现非凡才能。他受到廷尉推荐而入仕，当时年仅二十余岁，却让诸生自觉不如，不久得到文帝越级提拔，一年之间就当上太中大夫。 ，B  贾谊热心政事，遭到权要忌恨。他认为汉朝建立二十余年，政通人和，应当全盘改变秦朝法令，因此触及权贵利益，受到诋毁，文帝后来也疏远了他。 ，C 贾谊答复询问，重新得到重用。文帝询问鬼神之事，对贾谊的回答很满意，于是任命他为自己钟爱的小儿子梁怀王的太傅，又表示自己也比不上贾谊。。只能选择一个选项，禁止解释。,请选择一个正确选项。下列对原文有关内容的概括和分析，不正确的一项是?：A 贾谊初入仕途，展现非凡才能。他受到廷尉推荐而入仕，当时年仅二十余岁，却让诸生自觉不如，不久得到文帝越级提拔，一年之间就当上太中大夫。 ，B 贾谊答复询问，重新得到重用。文帝询问鬼神之事，对贾谊的回答很满意，于是任命他为自己钟爱的小儿子梁怀王的太傅，又表示自己也比不上贾谊。。只能选择一个选项，禁止解释。
下列对文中加点词语的相关内容的解说，不正确的一项是?,前尹在文中指开封府前任府尹，“尹”为官名，如令尹、京兆尹，是知府的简称。,"['陵寝是帝王死后安葬的陵墓，陵幕建成后，还需设置守陵奉祀的官员以及禁卫。', '“株”，本义树根，根与根间紧密相连，因而“株连”又指一人有罪而牵连他人。', '御名指皇帝名讳，古代与皇帝有关的事物前常加“御”字，如御玺指皇帝印信。']",请选择一个正确选项。下列对文中加点词语的相关内容的解说，不正确的一项是?：A 陵寝是帝王死后安葬的陵墓，陵幕建成后，还需设置守陵奉祀的官员以及禁卫。 ，B “株”，本义树根，根与根间紧密相连，因而“株连”又指一人有罪而牵连他人。 ，C 前尹在文中指开封府前任府尹，“尹”为官名，如令尹、京兆尹，是知府的简称。，D 御名指皇帝名讳，古代与皇帝有关的事物前常加“御”字，如御玺指皇帝印信。。只能选择一个选项，禁止解释。,请选择一个正确选项。下列对文中加点词语的相关内容的解说，不正确的一项是?：A 陵寝是帝王死后安葬的陵墓，陵幕建成后，还需设置守陵奉祀的官员以及禁卫。 ，B  “株”，本义树根，根与根间紧密相连，因而“株连”又指一人有罪而牵连他人。 ，C 前尹在文中指开封府前任府尹，“尹”为官名，如令尹、京兆尹，是知府的简称。。只能选择一个选项，禁止解释。,请选择一个正确选项。下列对文中加点词语的相关内容的解说，不正确的一项是?：A 陵寝是帝王死后安葬的陵墓，陵幕建成后，还需设置守陵奉祀的官员以及禁卫。 ，B 前尹在文中指开封府前任府尹，“尹”为官名，如令尹、京兆尹，是知府的简称。。只能选择一个选项，禁止解释。
下列对原文有关内容的概括和分析，不正确的一项是?,纯礼坚毅刚直，不幸遭人算计。他的正直让曾布恐惧，曾挑唆驸马都尉王诜诬告纯礼，王即借纯礼宴请辽使事构陷纯礼，致使纯礼蒙冤，最终遭到免职。,"['纯礼敢于抗言，受到韩琦赏识。主管官员分配劳赋不当，他有理有据地提出异议，认为永安县负责陵寝日常维护，不应与各县均等，得到陵使韩琦认同。', '纯礼关怀下属，处分重在惩戒。他在遂州任上对下属宽厚，草场失火，守吏惶恐等候诛杀，库吏因盗丝将被处死，他均认为罪不至死而采用赔偿的惩处。', '纯礼鉴察往事，治事去苛从宽。在开封府任上，有村民被误告谋逆，他发现事实并非如此，认为应判杖刑，并以彰显皇上刑罚不滥为由，征得皇上认可。']",请选择一个正确选项。下列对原文有关内容的概括和分析，不正确的一项是?：A 纯礼敢于抗言，受到韩琦赏识。主管官员分配劳赋不当，他有理有据地提出异议，认为永安县负责陵寝日常维护，不应与各县均等，得到陵使韩琦认同。 ，B 纯礼关怀下属，处分重在惩戒。他在遂州任上对下属宽厚，草场失火，守吏惶恐等候诛杀，库吏因盗丝将被处死，他均认为罪不至死而采用赔偿的惩处。 ，C 纯礼鉴察往事，治事去苛从宽。在开封府任上，有村民被误告谋逆，他发现事实并非如此，认为应判杖刑，并以彰显皇上刑罚不滥为由，征得皇上认可。，D 纯礼坚毅刚直，不幸遭人算计。他的正直让曾布恐惧，曾挑唆驸马都尉王诜诬告纯礼，王即借纯礼宴请辽使事构陷纯礼，致使纯礼蒙冤，最终遭到免职。。只能选择一个选项，禁止解释。,请选择一个正确选项。下列对原文有关内容的概括和分析，不正确的一项是?：A 纯礼敢于抗言，受到韩琦赏识。主管官员分配劳赋不当，他有理有据地提出异议，认为永安县负责陵寝日常维护，不应与各县均等，得到陵使韩琦认同。 ，B  纯礼关怀下属，处分重在惩戒。他在遂州任上对下属宽厚，草场失火，守吏惶恐等候诛杀，库吏因盗丝将被处死，他均认为罪不至死而采用赔偿的惩处。 ，C 纯礼坚毅刚直，不幸遭人算计。他的正直让曾布恐惧，曾挑唆驸马都尉王诜诬告纯礼，王即借纯礼宴请辽使事构陷纯礼，致使纯礼蒙冤，最终遭到免职。。只能选择一个选项，禁止解释。,请选择一个正确选项。下列对原文有关内容的概括和分析，不正确的一项是?：A 纯礼敢于抗言，受到韩琦赏识。主管官员分配劳赋不当，他有理有据地提出异议，认为永安县负责陵寝日常维护，不应与各县均等，得到陵使韩琦认同。 ，B 纯礼坚毅刚直，不幸遭人算计。他的正直让曾布恐惧，曾挑唆驸马都尉王诜诬告纯礼，王即借纯礼宴请辽使事构陷纯礼，致使纯礼蒙冤，最终遭到免职。。只能选择一个选项，禁止解释。
